[371] OPEN: <div class='page cover'> (level 1)
[373] OPEN:   <div class='cover-mid'> (level 2)
[374] OPEN:     <div class='rule'> (level 3)
[374] CLOSE:     </div> for <div class='rule'> from line 374 (level 2)
[375] OPEN:     <div class='kind'> (level 3)
[375] CLOSE:     </div> for <div class='kind'> from line 375 (level 2)
[377] OPEN:     <div class='quote'> (level 3)
[377] CLOSE:     </div> for <div class='quote'> from line 377 (level 2)
[378] CLOSE:   </div> for <div class='cover-mid'> from line 373 (level 1)
[379] OPEN:   <div class='cover-info'> (level 2)
[380] OPEN:     <div> (level 3)
[380] CLOSE:     </div> for <div> from line 380 (level 2)
[381] OPEN:     <div> (level 3)
[381] CLOSE:     </div> for <div> from line 381 (level 2)
[382] OPEN:     <div> (level 3)
[382] CLOSE:     </div> for <div> from line 382 (level 2)
[383] OPEN:     <div> (level 3)
[383] CLOSE:     </div> for <div> from line 383 (level 2)
[384] CLOSE:   </div> for <div class='cover-info'> from line 379 (level 1)
[385] CLOSE: </div> for <div class='page cover'> from line 371 (level 0)
[386] OPEN: <div class='sheet'> (level 1)
[388] OPEN:   <div class='section'> (level 2)
[389] OPEN:     <div class='body'> (level 3)
[390] OPEN:       <div class='chapter'> (level 4)
[390] CLOSE:       </div> for <div class='chapter'> from line 390 (level 3)
[393] OPEN:       <div class='toc-list'> (level 4)
[394] OPEN:         <div class='ti'> (level 5)
[394] CLOSE:         </div> for <div class='ti'> from line 394 (level 4)
[395] OPEN:         <div class='ti'> (level 5)
[395] CLOSE:         </div> for <div class='ti'> from line 395 (level 4)
[396] OPEN:         <div class='ti'> (level 5)
[396] CLOSE:         </div> for <div class='ti'> from line 396 (level 4)
[397] OPEN:         <div class='ti'> (level 5)
[397] CLOSE:         </div> for <div class='ti'> from line 397 (level 4)
[398] OPEN:         <div class='ti'> (level 5)
[398] CLOSE:         </div> for <div class='ti'> from line 398 (level 4)
[399] CLOSE:       </div> for <div class='toc-list'> from line 393 (level 3)
[403] OPEN:       <div class='trio'> (level 4)
[404] OPEN:         <div class='it'> (level 5)
[404] OPEN:           <div class='ic'> (level 6)
[404] CLOSE:           </div> for <div class='ic'> from line 404 (level 5)
[404] CLOSE:         </div> for <div class='it'> from line 404 (level 4)
